Make,Model,DateTimeOriginal,ExposureTime,FNumber,ISOSpeedRatings,FocalLength,rgb,hsl,percentage,pixelFraction,score
,,,,,,,"rgb(79, 131, 158)","(201, 33%, 46%)",3.54,0.035384614020586014,0.3767167031764984
,,,,,,,"rgb(87, 128, 157)","(205, 29%, 48%)",3.76,0.03763313591480255,0.3300698697566986
,,,,,,,"rgb(232, 247, 252)","(195, 77%, 95%)",88.66,0.886627197265625,0.002694876166060567
,,,,,,,"rgb(112, 150, 179)","(206, 31%, 57%)",2.14,0.02142011746764183,0.19138719141483307
,,,,,,,"rgb(163, 199, 228)","(207, 55%, 77%)",0.76,0.007573964539915323,0.037492938339710236
,,,,,,,"rgb(99, 149, 176)","(201, 33%, 54%)",0.21,0.002071005990728736,0.024160701781511307
,,,,,,,"rgb(66, 95, 118)","(207, 28%, 36%)",0.53,0.005266271997243166,0.02336919493973255
,,,,,,,"rgb(61, 123, 160)","(202, 45%, 43%)",0.07,0.0006508875521831214,0.008847808465361595
,,,,,,,"rgb(141, 160, 171)","(202, 15%, 61%)",0.07,0.0006508875521831214,0.0013820237945765257
,,,,,,,"rgb(210, 231, 247)","(206, 70%, 90%)",0.17,0.0016568046994507313,0.0012459780555218458
