Make,Model,DateTimeOriginal,ExposureTime,FNumber,ISOSpeedRatings,FocalLength,rgb,hsl,percentage,pixelFraction,score
,,,,,,,"rgb(88, 168, 232)","(207, 76%, 63%)",30.47,0.304691344499588,0.7765262722969055
,,,,,,,"rgb(15, 46, 103)","(219, 75%, 23%)",2.22,0.02222222276031971,0.015528646297752857
,,,,,,,"rgb(173, 236, 254)","(193, 98%, 84%)",1.22,0.012222222052514553,0.0015922847669571638
,,,,,,,"rgb(76, 161, 237)","(208, 82%, 61%)",3.75,0.037530865520238876,0.05760648101568222
,,,,,,,"rgb(106, 186, 249)","(206, 92%, 70%)",3.64,0.03641975298523903,0.051476601511240005
,,,,,,,"rgb(100, 189, 248)","(204, 91%, 68%)",1.06,0.01061728410422802,0.026070425286889076
,,,,,,,"rgb(69, 129, 192)","(211, 49%, 51%)",6.05,0.0604938268661499,0.023693034425377846
,,,,,,,"rgb(87, 172, 227)","(204, 71%, 62%)",0.74,0.007407407276332378,0.012841358780860901
,,,,,,,"rgb(53, 127, 203)","(210, 59%, 50%)",2.3,0.022962963208556175,0.00997036974877119
,,,,,,,"rgb(36, 84, 143)","(213, 60%, 35%)",3.35,0.03345679119229317,0.007704934570938349
